"Name","ShortDescription","DocumentType","LocationOrPath","Justification","AvailabilityFlag","ProvenanceTag","PriorityScore","PriorityRationale","SuggestedIngestionFormat","EstimatedSizeMB","AccessNotes"
"Optomec press release: 3D printing recipes for LENS & Aerosol Jet customers","Announcement of recipe availability (process recipes library concept).","vendor doc","https://optomec.com/optomec-announces-availability-3d-printing-recipes-lens-aerosol-jet-customers/","Supports treating recipes as first-class corpus artifacts; context for portal content.","Available/Open","OfficialVendor","3","Helpful for governance narrative.","text","0.5","Snapshot HTML; record publish date."
"Optomec press release: delivers 3D electronics printer for medical device production","Press release describing AJP capability and use cases.","vendor doc","https://optomec.com/optomec-delivers-3d-electronics-printer-for-medical-device-production/","Adds operational context and terminology variants for RAG queries.","Available/Open","OfficialVendor","2","Contextual only.","text","0.5","Snapshot HTML; include for language variants."
"Optomec AJ HD Production Sheets (HD series)","HD-series PDF including process recipes concept and capabilities.","vendor doc","https://optomec.com/wp-content/uploads/2018/08/AJ-HD-Production-Sheets_WEB0818.pdf","Operationally relevant: recipes, substrate prep, printing/cure instructions context.","Available/Open","OfficialVendor","5","High-density operationally relevant PDF.","PDF","6","Ingest PDF; extract per-section text."
"Optomec Aerosol Jet 5X System datasheet","System datasheet; includes stand-off and gas-input notes.","vendor doc","https://optomec.com/wp-content/uploads/2018/08/AJ_5X-System_WEB0818.pdf","Contains explicit AJP process description and specs (stand-off, gas input).","Available/Open","OfficialVendor","3","Useful specs + process text.","PDF","2","Ingest PDF; tag process description snippet."
"Optomec Aerosol Jet FLEX System datasheet (2018)","FLEX system PDF with modular cassette and workflow language.","vendor doc","https://optomec.com/wp-content/uploads/2018/08/AJ-FLEX-SystemWEB0818.pdf","Provides terminology for cassettes/printheads and changeover procedures.","Available/Open","OfficialVendor","2","Terminology support.","PDF","2","Ingest PDF; tag cassette/cleaning mentions."
"Optomec Aerosol Jet FLEX System datasheet (2022 update)","Updated FLEX datasheet (power requirements revision).","vendor doc","https://optomec.com/wp-content/uploads/2022/08/AJ-FLEX-System-August-2022_Updated-power-requirements.pdf","Updated specs may include revised utility/power constraints relevant to facility setup.","Available/Open","OfficialVendor","2","Updated revision useful for comparisons.","PDF","2","Ingest PDF; record doc date/version."
"Optomec Aerosol Jet Printed Antenna datasheet (WEB0717)","Application datasheet showing AJP antenna benefits and curing references.","vendor doc","https://optomec.com/wp-content/uploads/2014/04/AJ-Antenna-WEB0717.pdf","Includes mention of curing and process steps; supports material/cure nodes.","Available/Open","OfficialVendor","2","Application context; some process hints.","PDF","2","Ingest PDF; extract curing mentions."
"Optomec Aerosol Jet Printed Antenna datasheet (WEB0617)","Variant antenna datasheet; includes manufacturing flow references.","vendor doc","https://optomec.com/wp-content/uploads/2014/04/AJ-Antenna-WEB0617.pdf","Alternative version may include extra process details or examples.","Available/Open","OfficialVendor","2","Complements other version for details.","PDF","2","Ingest PDF; dedupe by checksum."
"Optomec Aerosol Jet Print Engine datasheet (2018)","Print Engine PDF describing modular production architecture.","vendor doc","https://optomec.com/wp-content/uploads/2018/08/AJ-Print-Engine_WEB0818.pdf","Helpful for understanding multi-module architecture and terminology.","Available/Open","OfficialVendor","2","Architecture context.","PDF","2","Ingest PDF; tag 'shutter', 'modules', 'recipes'."
"Optomec Aerosol Jet Production Print Engine datasheet (older)","Older Print Engine PDF; may include operational details.","vendor doc","https://www.optomec.com/wp-content/uploads/2014/04/AJ-Production-Print-Engine-WEB.pdf","May include operational constraints relevant for jobs/logging terminology.","Available/Open","OfficialVendor","2","Legacy details can aid language coverage.","PDF","2","Ingest PDF; mark as legacy if superseded."
"Optomec Aerosol Jet Production Ready Materials datasheet","PDF describing materials families (conductors/dielectrics/adhesives).","vendor doc","https://optomec.com/wp-content/uploads/2018/04/AJ_ProductionReadyMaterials-WEB0418.pdf","Supports material selection nodes; links conductors/dielectrics to process steps.","Available/Open","OfficialVendor","3","Directly informs material scope.","PDF","2","Ingest PDF; extract material categories."
"Optomec Aerosol Jet Materials FAQs (Web0417)","FAQ PDF on materials and process capabilities.","vendor doc","https://optomec.com/wp-content/uploads/2014/04/AJ_MATERIALS_FAQs-Web0417.pdf","Quick reference for viscosity, droplet size, and materials categories.","Available/Open","OfficialVendor","3","Condensed parameter context.","PDF","1","Ingest PDF; map FAQs to Parameter nodes."
"Optomec Aerosol Jet Materials FAQs DS v3","Alternate materials FAQ revision.","vendor doc","https://optomec.com/wp-content/uploads/2014/04/AJ_Materials_FAQs_DS_v3.pdf","Alternative revision may capture additional bounds and terminology.","Available/Open","OfficialVendor","2","Version comparison; dedupe if identical.","PDF","1","Ingest PDF; dedupe by checksum."
"Optomec Aerosol Jet Material Starter Recipes","PDF of starter recipes (substrate prep, set-up, parameters).","vendor doc","https://optomec.com/wp-content/uploads/2014/04/AJ-MaterialsRecipe_WEB-0817.pdf","Directly usable for recipe-format chunking and parameter nodes.","Available/Open","OfficialVendor","4","Open recipe analog; high value if portal delayed.","PDF","8","Extract each recipe into separate chunks; keep source pages."
"Optomec Aerosol Jet Printed Electronics Overview whitepaper (PDF)","Older Optomec whitepaper with process/use-case summary.","vendor doc","https://www.optomec.com/wp-content/uploads/2014/04/AJ_Printed_Electronics_Overview_whitepaper.pdf","Adds foundational vendor framing and terminology for RAG.","Available/Open","OfficialVendor","3","Useful language coverage.","PDF","4","Ingest PDF; treat as background not SOP."
"Optomec whitepaper: Direct Write Printing for MIL-AERO Electronic Applications","Optomec PDF with direct-write description and parameter ranges.","vendor doc","https://optomec.com/wp-content/uploads/2014/04/Optomec_Aerosol_Jet_Direct_Write_Printing_for_Mil_Aero_Electronic_Apps.pdf","Contains non-contact, materials viscosity range facts; relevant to repair use case framing.","Available/Open","OfficialVendor","3","Vendor whitepaper with semitechnical detail.","PDF","5","Ingest PDF; extract 'non-contact' and viscosity claims."
"Optomec/Neotech paper: 3D Aerosol Jet Printing – Adding Electronics Functionality to RP/RM","Conference-origin PDF describing AJP as CAD-driven digital manufacturing.","vendor doc","https://www.optomec.com/wp-content/uploads/2014/04/Optomec_NEOTECH_DDMC_3D_Aerosol_Jet_Printing.pdf","Useful for explaining process and limitations in training materials.","Available/Open","OfficialVendor","3","Supports conceptual explanation chunks.","PDF","3","Ingest PDF; tag figures for later redrawing."
"Optomec Aerosol Jet 300 Series datasheet (PDF)","AJ 300 series datasheet including application list (incl repair/rework).","vendor doc","https://www.optomec.com/wp-content/uploads/2014/04/AJ-300-Datasheet_Web.pdf","Includes explicit 'Repair & Re-Work' application mention; useful scope justification.","Available/Open","OfficialVendor","3","Relevant to repair/rework framing.","PDF","2","Ingest PDF; tag application list."
"Optomec Aerosol Jet 300 Series Systems brochure (PDF)","Brochure describing materials and process for AJ 300 systems.","vendor doc","https://www.optomec.com/wp-content/uploads/2014/04/AJ-300-Systems-Web0417.pdf","Provides materials taxonomy and process narrative useful for RAG chunks.","Available/Open","OfficialVendor","2","Background; complements datasheet.","PDF","3","Ingest PDF; dedupe with datasheet."
"Optomec Aerosol Jet 200 system brochure (PDF)","AJ 200 brochure; includes aerodynamic focusing language.","vendor doc","https://www.optomec.com/wp-content/uploads/2014/08/AJ_200_WEB_0216.pdf","Helpful for shared system terminology (heater, cameras, atomizers).","Available/Open","OfficialVendor","2","Terminology and shared subsystems.","PDF","2","Ingest PDF; map subsystems to Equipment nodes."
"Optomec Aerosol Jet 200 Series Systems brochure (Web0417)","AJ 200 systems brochure (Web0417 revision).","vendor doc","https://www.optomec.com/wp-content/uploads/2014/04/AJ-200-Systems-Web0417.pdf","Alternative revision; may add details on operation and materials.","Available/Open","OfficialVendor","2","Version variant; dedupe if identical.","PDF","3","Ingest PDF; hash for dedup."
"Optomec Micro-Dispense (MD series) datasheet","MD series datasheet mentioning KEWA features and vision.","vendor doc","https://optomec.com/wp-content/uploads/2014/04/AJ_micro-dispense_datasheet.pdf","KEWA UI concepts overlap; helps anticipate software/log structures.","Available/Open","OfficialVendor","2","Software feature overlap.","PDF","2","Ingest PDF; tag KEWA features list."
"Optomec Corporate Overview brochure","Corporate overview (background; support offerings).","vendor doc","https://optomec.com/wp-content/uploads/2014/04/CORPORATE_OVERVIEW-WEB.pdf","Useful for vendor ecosystem, support, and terminology coverage.","Available/Open","OfficialVendor","1","Low direct operational value; background only.","PDF","2","Ingest if needed for context; low priority content."
"Optomec After Sales Service brochure","After-sales service and support options brochure.","vendor doc","https://optomec.com/wp-content/uploads/2014/02/After_Sales_Service_web3-17.pdf","Supports escalation/maintenance planning and OptoCare procurement.","Available/Open","OfficialVendor","2","Supports access & maintenance governance.","PDF","2","Ingest PDF; tie to access steps."
"Optomec AJHD BiFold brochure (compressed)","Brochure emphasizing production-grade platform and recipes.","vendor doc","https://optomec.com/wp-content/uploads/2019/04/AJHD-BiFold-compressed.pdf","Reinforces recipes and production readiness; language variants.","Available/Open","OfficialVendor","2","Background; supports recipe framing.","PDF","3","Ingest PDF; tag any facility requirement mentions."
"Optomec case-study webinar slides (LOM_OPTO-091316)","Slide deck on bringing 3D printed electronics into mass production.","video","https://optomec.com/wp-content/uploads/2017/02/Case-study-Webinar-Slides-LOM_OPTO-091316-Rev1.6.pdf","Provides process pains/controls language for scenario realism.","Available/Open","OfficialVendor","2","Useful for scenario context.","PDF","10","Ingest PDF; extract case-study terms."
"Optomec: Aerosol Jet applications at Robert Bosch GmbH (PDF)","Bosch presentation PDF hosted on optomec domain.","other","https://optomec.com/wp-content/uploads/2014/02/Bosch_Aerosol-Jet%40Bosch1.pdf","Industrial application case study referencing PCB integration; useful terminology.","Available/Open","OfficialVendor","2","Case-study value; moderate relevance.","PDF","5","Ingest PDF; treat as external case study."
"Optomec IMAPS 2010 Phoenix paper on high-density 3D interconnects","Conference paper PDF hosted by Optomec.","peer-reviewed paper","https://www.optomec.com/wp-content/uploads/2014/04/Optomec_IMAPS_2010_Phoenix_Paper_VCI.pdf","Peer/industry evidence on AJP interconnects; supports repair/interconnect context.","Available/Open","PeerReviewed","3","Relevant to interconnect use; open PDF.","PDF","3","Ingest PDF; normalize citation metadata."
"OSHA Fact Sheet: Working Safely with Nanomaterials","OSHA overview of nanomaterial hazards and controls.","standard","https://www.osha.gov/sites/default/files/publications/OSHA_FS-3634.pdf","Safety gates for aerosolized nanoparticle inks; foundational controls and PPE guidance.","Available/Open","Government","5","Safety-critical baseline.","PDF","2","Ingest PDF; map to SafetyHazard and abort criteria."
"OSHA Nanotechnology topic: Overview","OSHA nanotechnology overview page.","standard","https://www.osha.gov/nanotechnology","Curates OSHA framing and links to applicable standards/resources.","Available/Open","Government","3","Useful linkage hub.","text","0.5","Snapshot HTML; follow linked resources."
"OSHA Nanotechnology: Standards page","OSHA page listing applicable standards and General Duty framing.","standard","https://www.osha.gov/nanotechnology/standards","Supports compliance mapping to HazCom, PPE, ventilation, etc.","Available/Open","Government","3","Compliance mapping reference.","text","0.5","Snapshot HTML; link to relevant CFR sections."
"OSHA Nanotechnology: Health effects and workplace controls","OSHA page summarizing health effects and control methods resources.","standard","https://www.osha.gov/nanotechnology/health-effects","Supports safety rationale for engineering controls and training.","Available/Open","Government","3","Control rationale resource.","text","0.5","Snapshot HTML; capture cited external references."
"OSHA Nanotechnology: Additional resources","OSHA link hub to partner resources.","standard","https://www.osha.gov/nanotechnology/resources","Discovery source for further authoritative safety docs.","Available/Open","Government","2","Secondary discovery hub.","text","0.5","Use for expansion; snapshot HTML."
"OSHA Hazard Communication Standard (29 CFR 1910.1200)","OSHA HazCom regulation page.","standard","https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1200","Defines SDS/labeling/training obligations for inks/solvents.","Available/Open","Government","5","Compliance-critical.","text","1","Ingest key sections; capture effective date and revisions."
"OSHA HazCom Appendix D: Safety Data Sheets","Defines required 16-section SDS content and minimum fields.","standard","https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1200AppD","Enables SDS parsing and QA for ingestion pipeline.","Available/Open","Government","4","Supports SDS schema validation.","text","0.5","Reference for automated SDS field extraction."
"OSHA Brief: Hazard Communication Standard - Safety Data Sheets (OSHA 3514)","Worker-facing guidance on SDS format and content.","standard","https://www.osha.gov/Publications/OSHA3514.html","Supports novice training on reading SDS for inks/solvents.","Available/Open","Government","4","Directly operational for technicians.","PDF","1","Ingest PDF; link to SDS training module."
"NIOSH Nanotechnology Guidance and Publications index (updated 2026)","NIOSH hub listing nanotechnology guidance and publications.","standard","https://www.cdc.gov/niosh/nano/guidance/index.html","Authoritative discovery hub for engineered nanomaterial and additive manufacturing safety resources.","Available/Open","Government","4","Best single gov hub for expansion.","text","0.5","Snapshot HTML; follow key PDF links."
"NIOSH: Safe Nanotechnology in the Workplace (DHHS 2008-112)","2-page intro brochure on hazards, exposure, measurement, control.","standard","https://www.cdc.gov/niosh/docs/2008-112/pdfs/2008-112.pdf","Concise gov summary suitable for novice safety chunks.","Available/Open","Government","4","Short but high authority.","PDF","0.2","Ingest PDF; use as quick reference chunk."
"NIOSH: Approaches to Safe Nanotechnology (DHHS 2009-125)","NIOSH compendium for managing ENM health/safety concerns.","standard","https://www.cdc.gov/niosh/docs/2009-125/pdfs/2009-125.pdf","Frames hierarchy of controls and programmatic safety decisions.","Available/Open","Government","4","High authority; broad applicability.","PDF","25","Ingest PDF; extract controls and decision logic."
"NIOSH CIB 60: Medical screening & hazard surveillance for engineered nanoparticles (2009-116)","NIOSH interim guidance on medical screening/health surveillance.","standard","https://www.cdc.gov/niosh/docs/2009-116/pdfs/2009-116.pdf","Supports governance nodes (medical surveillance references and ethics).","Available/Open","Government","3","Important governance reference.","PDF","1","Use as governance; coordinate with EHS/medical director."
"NIOSH: General Safe Practices for Working with Engineered Nanomaterials in Research Laboratories (2012-147)","NIOSH lab guidance for engineered nanomaterials.","standard","https://www.cdc.gov/niosh/docs/2012-147/pdfs/2012-147.pdf","Applies to handling nanoparticle inks and cleanup operations.","Available/Open","Government","5","High relevance to hands-on technician work.","PDF","2","Ingest PDF; map to cleaning/spill response modules."
"NIOSH: Current Strategies for Engineering Controls in Nanomaterial Production & Downstream Handling (2014-102)","Engineering controls compendium for nanomaterial processes.","standard","https://www.cdc.gov/niosh/docs/2014-102/pdfs/2014-102.pdf","Supports LEV/enclosure design and maintenance for aerosol-producing tasks.","Available/Open","Government","5","Critical for ventilation control design.","PDF","4.9","Ingest PDF; extract enclosure selection guidance."
"NIOSH: Building a Safety Program to Protect the Nanotechnology Workforce (2016-102)","Safety program guide for SMEs.","standard","https://www.cdc.gov/niosh/docs/2016-102/pdfs/2016-102.pdf","Supports governance: training roles, documentation, incident response.","Available/Open","Government","3","Supports program governance.","PDF","4","Ingest PDF; map roles/responsibilities to corpus governance."
"NIOSH: Controlling Health Hazards When Working with Nanomaterials (Poster, FY17-FY18 Nanomaterials poster 18x24)","Poster guiding control selection based on material form.","standard","https://www.cdc.gov/niosh/docs/2018-103/pdfs/nano_mp2_2018-103_508.pdf","Useful quick-reference for nanoparticle aerosol vs suspension handling decisions.","Available/Open","Government","3","Operator-facing decision aid.","PDF","2","Ingest PDF; link from SafetyHazard nodes."
"NIOSH: Workplace Design Solutions - Intermediate/Downstream Processing (2018-122)","Control options for post-production handling processing.","standard","https://www.cdc.gov/niosh/docs/2018-122/pdfs/2018-122.pdf","Applies to cleaning, mixing, and downstream steps with nanomaterials.","Available/Open","Government","3","Good detailed control guidance.","PDF","3","Ingest PDF; extract design+PM checklists."
"NIOSH: Workplace Design Solutions - Handling of Nanomaterials (2018-121)","Control options for handling engineered nanomaterials.","standard","https://www.cdc.gov/niosh/docs/2018-121/pdfs/2018-121.pdf","Supports enclosure/hood practices for handling powders/suspensions.","Available/Open","Government","3","Useful for lab handling SOP.","PDF","1","Ingest PDF; map to specific handling steps."
"NIOSH: Workplace Design Solutions - Nanomaterial Reactor Operations (2018-120)","Control approaches for reactor operations (analog to cleaning/maintenance).","standard","https://www.cdc.gov/niosh/docs/2018-120/pdf/2018-120.pdf","Analog guidance for higher-risk maintenance/cleanup steps generating aerosols.","Available/Open","Government","2","Analog; still useful for maintenance mindset.","PDF","1","Ingest PDF; adapt conservatively."
"NIOSH Nanotechnology Research Plan 2018–2025 (2019-116)","NIOSH strategic plan PDF for nanotech research/guidance.","standard","https://www.cdc.gov/niosh/docs/2019-116/pdfs/2019-116.pdf","Supports governance justification and risk-based priorities.","Available/Open","Government","2","Background planning; low direct op value.","PDF","0.9","Ingest for background; not used for SOP."
"NIOSH Occupational Exposure Sampling for Engineered Nanomaterials (2022-153)","Technical report on sampling methods for ENMs.","standard","https://www.cdc.gov/niosh/docs/2022-153/2022-153.pdf","Supports exposure assessment planning for silver nano inks in AJP settings.","Available/Open","Government","3","Useful if exposure sampling is required.","PDF","2","Ingest PDF; map to EHS monitoring plan."
"NIOSH Approaches to safe 3D printing (2024-103)","NIOSH guide addressing multiple hazards incl. solvents, heat, lasers, robotics.","standard","https://www.cdc.gov/niosh/docs/2024-103/pdfs/2024-103.pdf","Additive manufacturing safety analog for AJP operations (solvents, moving stages, lasers).","Available/Open","Government","3","Good cross-hazard reference.","PDF","7","Ingest PDF; extract relevant sections for AJP."
"NIOSH CIB 70: Health Effects of Occupational Exposure to Silver Nanomaterials (2021-112)","NIOSH silver nanomaterials guidance incl. derived REL.","standard","https://www.cdc.gov/niosh/docs/2021-112/pdfs/2021-112.pdf","Most relevant health+limits reference for common silver inks in printed electronics.","Available/Open","Government","5","Ink-specific, safety-critical.","PDF","12","Ingest PDF; extract RELs and control recommendations."
"NIOSH CIB 65: Occupational Exposure to Carbon Nanotubes and Nanofibers (2013-145)","NIOSH bulletin on CNT/CNF exposure (relevant if CNT inks used).","standard","https://www.cdc.gov/niosh/docs/2013-145/pdfs/2013-145.pdf","Useful where CNT-based inks/suspensions are used or present as additives.","Available/Open","Government","2","Conditional: only if CNT materials are in scope.","PDF","15","Ingest if CNT inks used; otherwise optional."
"NIOSH CIB 63: Occupational Exposure to Titanium Dioxide (2011-160)","NIOSH bulletin on TiO2; relevant if TiO2-filled dielectrics used.","standard","https://www.cdc.gov/niosh/docs/2011-160/pdfs/2011-160.pdf","Useful if TiO2-containing dielectrics or fillers are present in materials.","Available/Open","Government","1","Conditional; usually secondary.","PDF","120","Large PDF; ingest metadata and key excerpts if needed."
"EPA PDF: NIOSH activities in additive manufacturing and 3D printing (Geraci talk)","Slide deck on NIOSH EMs from additive manufacturing.","other","https://www.epa.gov/sites/default/files/2017-10/documents/niosh_amfg_overview-ciaq-10-04-2017-clgeraci_002.pdf","Provides additive manufacturing hazard taxonomy and monitoring concepts.","Available/Open","Government","2","Contextual safety slide deck.","PDF","4","Ingest; extract hazard taxonomy for training."
"NIOSH: Additive manufacturing (3D printing) topic page","NIOSH additive manufacturing hazard overview (updated 2026).","standard","https://www.cdc.gov/niosh/manufacturing/additive/index.html","Current gov framing of additive manufacturing hazards; relevant analog for AJP.","Available/Open","Government","2","Background but current.","text","0.5","Snapshot HTML; link to relevant PDFs."
"AIHA Fact Sheet PDF: PPE for engineered nanoparticles","AIHA PPE recommendations for engineered nanoparticles.","standard","https://aiha-assets.sfo2.digitaloceanspaces.com/AIHA/resources/Personal-Protective-Equipment-for-Engineered-Nanoparticles-Fact-Sheet.pdf","Practical PPE guidance complementing OSHA/NIOSH controls hierarchy.","Available/Open","Government","3","Operator-facing PPE guidance.","PDF","1","Ingest PDF; align with local PPE program."
"NovaCentrix Metalon JS-A102A Silver Ink SDS","SDS for Metalon JS-A102A silver ink (HCS 2012).","SDS","https://novacentrix.com/datasheet/Metalon-JS-A102A-SDS.pdf","Required for safe handling, spill response, and waste disposal training.","Available/Open","OfficialVendor","5","Ink SDS is mandatory for safety gates.","PDF","1","Verify latest revision; store retrieval date."
"NovaCentrix Metalon JS-A221AE Silver Ink SDS","SDS for Metalon JS-A221AE silver ink (HCS 2012).","SDS","https://novacentrix.com/datasheet/Metalon-JS-A221AE-SDS.pdf","SDS supports HazCom, PPE, ventilation, and spill procedures for silver inks.","Available/Open","OfficialVendor","5","Ink SDS is safety-critical.","PDF","1","Confirm this is the exact SKU used; otherwise add your actual ink SDS."
"NovaCentrix Metalon JS-A191 Silver Ink SDS","SDS for Metalon JS-A191 silver ink.","SDS","https://novacentrix.com/datasheet/Metalon-JS-A191-SDS.pdf","Expands SDS coverage across common silver ink variants.","Available/Open","OfficialVendor","4","SDS coverage breadth reduces surprises.","PDF","1","If unused, file as reference; keep for taxonomy."
"NovaCentrix Metalon HPS-FG149A Silver Ink SDS","SDS for HPS-FG149A silver ink.","SDS","https://novacentrix.com/datasheet/Metalon-HPS-FG149A-SDS.pdf","Safety and handling instructions for another common silver ink formulation.","Available/Open","OfficialVendor","4","SDS breadth.","PDF","1","Maintain revision; cross-link to ink TDS where available."
"NovaCentrix Metalon CI-004 Copper Inkjet Ink SDS","SDS describing copper ink (polyimide substrates).","SDS","https://novacentrix.com/datasheet/Metalon-CI-004-SDS.pdf","Relevant if copper inks are used; includes solvent and hazard info.","Available/Open","OfficialVendor","3","Conditional on copper use.","PDF","2","Ingest if copper inks in scope; otherwise optional."
"Ossila PEDOT:PSS PH 1000 SDS","SDS for PEDOT:PSS PH1000 (common conductive polymer).","SDS","https://downloads.ossila.com/msds/pedot-pss-ph-1000.pdf","Useful if polymer inks (PEDOT:PSS) are used for sensors/repairs or experimentation.","Available/Open","OfficialVendor","2","Conditional on polymer ink use.","PDF","1","Ingest if used; otherwise reference for materials taxonomy."
"Sigma-Aldrich PEDOT/PSS SDS (example)","Example SDS for PEDOT/PSS mixture from Sigma-Aldrich.","SDS","https://www.nanofab.utah.edu/wp-content/uploads/2018/08/Poly34-ethylenedioxythiophene-polystyrenesulfonate-PEDOT-Sigma-Aldrich-02Jul14_v4.3.pdf","Alternate SDS source; useful for hazard comparison and parser QA.","Available/Open","Practitioner","1","Tooling test / comparison.","PDF","1","Prefer your exact vendor SDS if used on-site."
"Dycotec DM-CUI-5002 Copper Printing Ink MSDS","MSDS for Dycotec copper ink product DM-CUI-5002.","SDS","https://www.dycotecmaterials.com/wp-content/uploads/2018/01/MSDS-DM-CUI-5002.pdf","Adds SDS coverage for copper inks used in printed electronics.","Available/Open","OfficialVendor","2","Conditional on copper inks.","PDF","1","Ingest if copper ink is used/considered."
"Nanoshel Copper Nanoparticles Ink MSDS","MSDS for copper nanoparticle ink (research).","SDS","https://nanoshelv2web.s3.ap-south-1.amazonaws.com/uploads/product_pdf/copper-nanoparticles-ink277435175MSDS-476.pdf","Safety reference for nanoparticle copper inks (if evaluated).","Available/Open","OfficialVendor","2","Reference only unless used.","PDF","1","Use for risk assessment if copper NP inks evaluated."
"DuPont Kapton Polyimide Film SDS (Boedeker copy)","SDS/article info sheet for Kapton polyimide film.","SDS","https://www.boedeker.com/Portals/0/Safety%20Data%20Sheets%20SDS/Kapton-Film-Dupont-Safety-Data-Sheet-SDS-11-30-2016.PDF","Relevant if polyimide substrates/films used in repair or test coupons.","Available/Open","OfficialVendor","2","Substrate hazard/handling reference.","PDF","1","Ingest if polyimide substrates/coupons used."
"Kapton HN SDS (QC Precision copy)","SDS for Kapton HN film (static charge warnings).","SDS","https://qcprecision.com/wp-content/uploads/2020/03/Kapton-HN-SDS.pdf","Highlights static and handling considerations for polyimide films.","Available/Open","OfficialVendor","1","Low priority unless polyimide is common.","PDF","1","Ingest if polyimide substrates used frequently."
"Kapton Polyimide Film SDS (The Gund Company)","SDS for Kapton polyimide film (2024 revision).","SDS","https://thegundcompany.com/wp-content/uploads/2024/08/Polyimide-Film-SDS-by-The-Gund-Co-1.pdf","Another SDS source with updated date stamp; supports cross-checking.","Available/Open","OfficialVendor","1","Reference only.","PDF","1","Deduplicate if identical to other Kapton SDS."
"PGMEA (Propylene Glycol Monomethyl Ether Acetate) SDS – Monument Chemical","SDS for PGMEA (CAS 108-65-6) often used as solvent in inks like SU-8.","SDS","https://monumentchemical.com/uploads/files/SDS/propylene-glycol-monomethyl-ether-acetate-108-65-6-en.pdf","Solvent SDS used to define ventilation/PPE/waste handling for common AJP inks or cleaning.","Available/Open","OfficialVendor","3","Solvent handling is safety-critical.","PDF","1","Also ingest on-site supplier SDS if different brand."
"PGMEA SDS – Ben Gurion University copy","SDS for PGMEA (CAS 108-65-6).","SDS","https://www.bgu.ac.il/media/xcoov1gs/pgmea.pdf","Alternate PGMEA SDS source; useful for redundancy and parser QA.","Available/Open","Practitioner","1","Redundant; keep one canonical.","PDF","1","Deduplicate; prefer manufacturer SDS."
"Acetone SDS – Airgas","SDS for acetone (CAS 67-64-1).","SDS","https://www.airgas.com/msds/001088.pdf","Acetone is commonly used for cleaning; SDS informs safe handling and disposal.","Available/Open","OfficialVendor","3","Common cleaning solvent hazard.","PDF","1","Ingest if acetone used in cleaning process."
